"cust","prod","month","prev_avg","during_avg","next_avg"
"Chae","Apple",3,"454","457","536"
"Chae","Apple",4,"457","536","396"
"Chae","Apple",5,"536","396","515"
"Chae","Apple",6,"396","515","534"
"Chae","Apple",7,"515","534","499"
"Chae","Apple",8,"534","499","356"
"Chae","Apple",9,"499","356","544"
"Chae","Apple",10,"356","544","521"
"Chae","Apple",11,"544","521","483"
"Chae","Apple",12,"521","483",NULL
"Chae","Butter",1,NULL,"367","536"
"Chae","Butter",2,"367","536","357"
"Chae","Butter",3,"536","357","398"
"Chae","Butter",4,"357","398","463"
"Chae","Butter",5,"398","463","438"
"Chae","Butter",6,"463","438","616"
"Chae","Butter",7,"438","616","547"
"Chae","Butter",8,"616","547","472"
"Chae","Butter",9,"547","472","407"
"Chae","Butter",10,"472","407","541"
"Chae","Butter",11,"407","541","413"
"Chae","Butter",12,"541","413",NULL
"Chae","Cherry",1,NULL,"574","625"
"Chae","Cherry",2,"574","625","490"
"Chae","Cherry",3,"625","490","545"
"Chae","Cherry",4,"490","545","567"
"Chae","Cherry",5,"545","567","415"
"Chae","Cherry",6,"567","415","550"
"Chae","Cherry",7,"415","550","455"
"Chae","Cherry",8,"550","455","407"
"Chae","Cherry",9,"455","407","375"
"Chae","Cherry",10,"407","375","514"
"Chae","Cherry",11,"375","514","453"
"Chae","Cherry",12,"514","453",NULL
"Chae","Dates",1,NULL,"468","614"
"Chae","Dates",2,"468","614","593"
"Chae","Dates",3,"614","593","543"
"Chae","Dates",4,"593","543","554"
"Chae","Dates",5,"543","554","517"
"Chae","Dates",6,"554","517","522"
"Chae","Dates",7,"517","522","571"
"Chae","Dates",8,"522","571","467"
"Chae","Dates",9,"571","467","490"
"Chae","Dates",10,"467","490","497"
"Chae","Dates",11,"490","497","634"
"Chae","Dates",12,"497","634",NULL
"Chae","Eggs",1,NULL,"480","393"
"Chae","Eggs",2,"480","393","450"
"Chae","Eggs",3,"393","450","597"
"Chae","Eggs",4,"450","597","513"
"Chae","Eggs",5,"597","513","592"
"Chae","Eggs",6,"513","592","354"
"Chae","Eggs",7,"592","354","543"
"Chae","Eggs",8,"354","543","450"
"Chae","Eggs",9,"543","450","607"
"Chae","Eggs",10,"450","607","596"
"Chae","Eggs",11,"607","596","537"
"Chae","Eggs",12,"596","537",NULL
"Chae","Fish",1,NULL,"504","334"
"Chae","Fish",2,"504","334","396"
"Chae","Fish",3,"334","396","439"
"Chae","Fish",4,"396","439","490"
"Chae","Fish",5,"439","490","449"
"Chae","Fish",6,"490","449","576"
"Chae","Fish",7,"449","576","539"
"Chae","Fish",8,"576","539","493"
"Chae","Fish",9,"539","493","342"
"Chae","Fish",10,"493","342","526"
"Chae","Fish",11,"342","526","539"
"Chae","Fish",12,"526","539",NULL
"Chae","Grapes",1,NULL,"642","495"
"Chae","Grapes",2,"642","495","558"
"Chae","Grapes",3,"495","558","505"
"Chae","Grapes",4,"558","505","712"
"Chae","Grapes",5,"505","712","347"
"Chae","Grapes",6,"712","347","557"
"Chae","Grapes",7,"347","557","471"
"Chae","Grapes",8,"557","471","490"
"Chae","Grapes",9,"471","490","381"
"Chae","Grapes",10,"490","381","531"
"Chae","Grapes",11,"381","531","402"
"Chae","Grapes",12,"531","402",NULL
"Chae","Ham",1,NULL,"401","501"
"Chae","Ham",2,"401","501","496"
"Chae","Ham",3,"501","496","397"
"Chae","Ham",4,"496","397","664"
"Chae","Ham",5,"397","664","671"
"Chae","Ham",6,"664","671","405"
"Chae","Ham",7,"671","405","549"
"Chae","Ham",8,"405","549","594"
"Chae","Ham",9,"549","594","411"
"Chae","Ham",10,"594","411","383"
"Chae","Ham",11,"411","383","613"
"Chae","Ham",12,"383","613",NULL
"Chae","Ice",1,NULL,"494","727"
"Chae","Ice",2,"494","727","617"
"Chae","Ice",3,"727","617","559"
"Chae","Ice",4,"617","559","445"
"Chae","Ice",5,"559","445","304"
"Chae","Ice",6,"445","304","410"
"Chae","Ice",7,"304","410","438"
"Chae","Ice",8,"410","438","556"
"Chae","Ice",9,"438","556","548"
"Chae","Ice",10,"556","548","517"
"Chae","Ice",11,"548","517","524"
"Chae","Ice",12,"517","524",NULL
"Chae","Jelly",1,NULL,"654","398"
"Chae","Jelly",2,"654","398","418"
"Chae","Jelly",3,"398","418","468"
"Chae","Jelly",4,"418","468","660"
"Chae","Jelly",5,"468","660","573"
"Chae","Jelly",6,"660","573","516"
"Chae","Jelly",7,"573","516","371"
"Chae","Jelly",8,"516","371","450"
"Chae","Jelly",9,"371","450","649"
"Chae","Jelly",10,"450","649","447"
"Chae","Jelly",11,"649","447","527"
"Chae","Jelly",12,"447","527",NULL
"Claire","Apple",1,NULL,"620","607"
"Claire","Apple",2,"620","607","403"
"Claire","Apple",3,"607","403","332"
"Claire","Apple",4,"403","332","524"
"Claire","Apple",5,"332","524","428"
"Claire","Apple",6,"524","428","526"
"Claire","Apple",7,"428","526","624"
"Claire","Apple",8,"526","624","463"
"Claire","Apple",9,"624","463","562"
"Claire","Apple",10,"463","562","357"
"Claire","Apple",11,"562","357","589"
"Claire","Apple",12,"357","589",NULL
"Claire","Butter",1,NULL,"405","504"
"Claire","Butter",2,"405","504","512"
"Claire","Butter",3,"504","512","525"
"Claire","Butter",4,"512","525","385"
"Claire","Butter",5,"525","385","273"
"Claire","Butter",6,"385","273","607"
"Claire","Butter",7,"273","607","560"
"Claire","Butter",8,"607","560","508"
"Claire","Butter",9,"560","508","504"
"Claire","Butter",10,"508","504","677"
"Claire","Butter",11,"504","677","651"
"Claire","Butter",12,"677","651",NULL
"Claire","Cherry",1,NULL,"468","363"
"Claire","Cherry",2,"468","363","509"
"Claire","Cherry",3,"363","509","431"
"Claire","Cherry",4,"509","431","419"
"Claire","Cherry",5,"431","419","597"
"Claire","Cherry",6,"419","597","449"
"Claire","Cherry",7,"597","449","568"
"Claire","Cherry",8,"449","568","711"
"Claire","Cherry",9,"568","711","651"
"Claire","Cherry",10,"711","651","693"
"Claire","Cherry",11,"651","693","581"
"Claire","Cherry",12,"693","581",NULL
"Claire","Dates",1,NULL,"617","403"
"Claire","Dates",2,"617","403","447"
"Claire","Dates",3,"403","447","537"
"Claire","Dates",4,"447","537","525"
"Claire","Dates",5,"537","525","342"
"Claire","Dates",6,"525","342","512"
"Claire","Dates",7,"342","512","462"
"Claire","Dates",8,"512","462","338"
"Claire","Dates",9,"462","338","546"
"Claire","Dates",10,"338","546","330"
"Claire","Dates",11,"546","330","415"
"Claire","Dates",12,"330","415",NULL
"Claire","Eggs",1,NULL,"605","390"
"Claire","Eggs",2,"605","390","586"
"Claire","Eggs",3,"390","586","294"
"Claire","Eggs",4,"586","294","328"
"Claire","Eggs",5,"294","328","659"
"Claire","Eggs",6,"328","659","489"
"Claire","Eggs",7,"659","489","541"
"Claire","Eggs",8,"489","541","420"
"Claire","Eggs",9,"541","420","337"
"Claire","Eggs",10,"420","337","421"
"Claire","Eggs",11,"337","421","437"
"Claire","Eggs",12,"421","437",NULL
"Claire","Fish",1,NULL,"706","586"
"Claire","Fish",2,"706","586","509"
"Claire","Fish",3,"586","509","376"
"Claire","Fish",4,"509","376","740"
"Claire","Fish",5,"376","740","409"
"Claire","Fish",6,"740","409","433"
"Claire","Fish",7,"409","433","451"
"Claire","Fish",8,"433","451","668"
"Claire","Fish",9,"451","668","556"
"Claire","Fish",10,"668","556","478"
"Claire","Fish",11,"556","478","784"
"Claire","Fish",12,"478","784",NULL
"Claire","Grapes",1,NULL,"469","437"
"Claire","Grapes",2,"469","437","545"
"Claire","Grapes",3,"437","545","546"
"Claire","Grapes",4,"545","546","414"
"Claire","Grapes",5,"546","414","369"
"Claire","Grapes",6,"414","369","249"
"Claire","Grapes",7,"369","249","629"
"Claire","Grapes",8,"249","629","573"
"Claire","Grapes",9,"629","573","575"
"Claire","Grapes",10,"573","575","592"
"Claire","Grapes",11,"575","592","605"
"Claire","Grapes",12,"592","605",NULL
"Claire","Ham",1,NULL,"634","407"
"Claire","Ham",2,"634","407","396"
"Claire","Ham",3,"407","396","524"
"Claire","Ham",4,"396","524","433"
"Claire","Ham",5,"524","433","680"
"Claire","Ham",6,"433","680","539"
"Claire","Ham",7,"680","539","490"
"Claire","Ham",8,"539","490","507"
"Claire","Ham",9,"490","507","570"
"Claire","Ham",10,"507","570","512"
"Claire","Ham",11,"570","512","504"
"Claire","Ham",12,"512","504",NULL
"Claire","Ice",1,NULL,"462","602"
"Claire","Ice",2,"462","602","410"
"Claire","Ice",3,"602","410","460"
"Claire","Ice",4,"410","460","606"
"Claire","Ice",5,"460","606","481"
"Claire","Ice",6,"606","481","526"
"Claire","Ice",7,"481","526","594"
"Claire","Ice",8,"526","594","515"
"Claire","Ice",9,"594","515","434"
"Claire","Ice",10,"515","434","268"
"Claire","Ice",11,"434","268","554"
"Claire","Ice",12,"268","554",NULL
"Claire","Jelly",1,NULL,"449","285"
"Claire","Jelly",2,"449","285","351"
"Claire","Jelly",3,"285","351","510"
"Claire","Jelly",4,"351","510","608"
"Claire","Jelly",5,"510","608","560"
"Claire","Jelly",6,"608","560","479"
"Claire","Jelly",7,"560","479","437"
"Claire","Jelly",8,"479","437","709"
"Claire","Jelly",9,"437","709","652"
"Claire","Jelly",10,"709","652","588"
"Claire","Jelly",11,"652","588","477"
"Claire","Jelly",12,"588","477",NULL
"Dan","Apple",1,NULL,"478","679"
"Dan","Apple",2,"478","679","494"
"Dan","Apple",3,"679","494","490"
"Dan","Apple",4,"494","490","435"
"Dan","Apple",5,"490","435","397"
"Dan","Apple",6,"435","397","518"
"Dan","Apple",7,"397","518","562"
"Dan","Apple",8,"518","562","411"
"Dan","Apple",9,"562","411","486"
"Dan","Apple",10,"411","486","541"
"Dan","Apple",11,"486","541","460"
"Dan","Apple",12,"541","460",NULL
"Dan","Butter",1,NULL,"463","427"
"Dan","Butter",2,"463","427","601"
"Dan","Butter",3,"427","601","510"
"Dan","Butter",4,"601","510","384"
"Dan","Butter",5,"510","384","564"
"Dan","Butter",6,"384","564","402"
"Dan","Butter",7,"564","402","634"
"Dan","Butter",8,"402","634","606"
"Dan","Butter",9,"634","606","366"
"Dan","Butter",10,"606","366","475"
"Dan","Butter",11,"366","475","439"
"Dan","Butter",12,"475","439",NULL
"Dan","Cherry",1,NULL,"518","456"
"Dan","Cherry",2,"518","456","464"
"Dan","Cherry",3,"456","464","314"
"Dan","Cherry",4,"464","314","440"
"Dan","Cherry",5,"314","440","568"
"Dan","Cherry",6,"440","568","460"
"Dan","Cherry",7,"568","460","586"
"Dan","Cherry",8,"460","586","648"
"Dan","Cherry",9,"586","648","393"
"Dan","Cherry",10,"648","393","435"
"Dan","Cherry",11,"393","435","513"
"Dan","Cherry",12,"435","513",NULL
"Dan","Dates",1,NULL,"543","550"
"Dan","Dates",2,"543","550","455"
"Dan","Dates",3,"550","455","304"
"Dan","Dates",4,"455","304","617"
"Dan","Dates",5,"304","617","557"
"Dan","Dates",6,"617","557","423"
"Dan","Dates",7,"557","423","457"
"Dan","Dates",8,"423","457","443"
"Dan","Dates",9,"457","443","518"
"Dan","Dates",10,"443","518","566"
"Dan","Dates",11,"518","566","522"
"Dan","Dates",12,"566","522",NULL
"Dan","Eggs",1,NULL,"465","787"
"Dan","Eggs",2,"465","787","575"
"Dan","Eggs",3,"787","575","521"
"Dan","Eggs",4,"575","521","359"
"Dan","Eggs",5,"521","359","658"
"Dan","Eggs",6,"359","658","425"
"Dan","Eggs",7,"658","425","508"
"Dan","Eggs",8,"425","508","556"
"Dan","Eggs",9,"508","556","446"
"Dan","Eggs",10,"556","446","487"
"Dan","Eggs",11,"446","487","578"
"Dan","Eggs",12,"487","578",NULL
"Dan","Fish",1,NULL,"572","584"
"Dan","Fish",2,"572","584","575"
"Dan","Fish",3,"584","575","375"
"Dan","Fish",4,"575","375","640"
"Dan","Fish",5,"375","640","871"
"Dan","Fish",6,"640","871","380"
"Dan","Fish",7,"871","380","367"
"Dan","Fish",8,"380","367","492"
"Dan","Fish",9,"367","492","607"
"Dan","Fish",10,"492","607","641"
"Dan","Fish",11,"607","641","459"
"Dan","Fish",12,"641","459",NULL
"Dan","Grapes",1,NULL,"310","489"
"Dan","Grapes",2,"310","489","520"
"Dan","Grapes",3,"489","520","430"
"Dan","Grapes",4,"520","430","492"
"Dan","Grapes",5,"430","492","334"
"Dan","Grapes",6,"492","334","616"
"Dan","Grapes",7,"334","616","605"
"Dan","Grapes",8,"616","605","462"
"Dan","Grapes",9,"605","462","653"
"Dan","Grapes",10,"462","653","484"
"Dan","Grapes",11,"653","484","416"
"Dan","Grapes",12,"484","416",NULL
"Dan","Ham",1,NULL,"699","296"
"Dan","Ham",2,"699","296","517"
"Dan","Ham",3,"296","517","515"
"Dan","Ham",4,"517","515","529"
"Dan","Ham",5,"515","529","533"
"Dan","Ham",6,"529","533","677"
"Dan","Ham",7,"533","677","446"
"Dan","Ham",8,"677","446","572"
"Dan","Ham",9,"446","572","420"
"Dan","Ham",10,"572","420","443"
"Dan","Ham",11,"420","443","529"
"Dan","Ham",12,"443","529",NULL
"Dan","Ice",1,NULL,"549","497"
"Dan","Ice",2,"549","497","533"
"Dan","Ice",3,"497","533","475"
"Dan","Ice",4,"533","475","447"
"Dan","Ice",5,"475","447","502"
"Dan","Ice",6,"447","502","613"
"Dan","Ice",7,"502","613","566"
"Dan","Ice",8,"613","566","674"
"Dan","Ice",9,"566","674","431"
"Dan","Ice",10,"674","431","571"
"Dan","Ice",11,"431","571","586"
"Dan","Ice",12,"571","586",NULL
"Dan","Jelly",1,NULL,"513","776"
"Dan","Jelly",2,"513","776","478"
"Dan","Jelly",3,"776","478","631"
"Dan","Jelly",4,"478","631","540"
"Dan","Jelly",5,"631","540","665"
"Dan","Jelly",6,"540","665","502"
"Dan","Jelly",7,"665","502","411"
"Dan","Jelly",8,"502","411","652"
"Dan","Jelly",9,"411","652","602"
"Dan","Jelly",10,"652","602","467"
"Dan","Jelly",11,"602","467","520"
"Dan","Jelly",12,"467","520",NULL
"Emily","Apple",1,NULL,"290","606"
"Emily","Apple",2,"290","606","449"
"Emily","Apple",3,"606","449","488"
"Emily","Apple",4,"449","488","461"
"Emily","Apple",5,"488","461","544"
"Emily","Apple",6,"461","544","416"
"Emily","Apple",7,"544","416","453"
"Emily","Apple",8,"416","453","621"
"Emily","Apple",9,"453","621","415"
"Emily","Apple",10,"621","415","394"
"Emily","Apple",11,"415","394","478"
"Emily","Apple",12,"394","478",NULL
"Emily","Butter",1,NULL,"611","591"
"Emily","Butter",2,"611","591","441"
"Emily","Butter",3,"591","441","467"
"Emily","Butter",4,"441","467","490"
"Emily","Butter",5,"467","490","541"
"Emily","Butter",6,"490","541","533"
"Emily","Butter",7,"541","533","501"
"Emily","Butter",8,"533","501","419"
"Emily","Butter",9,"501","419","470"
"Emily","Butter",10,"419","470","423"
"Emily","Butter",11,"470","423","569"
"Emily","Butter",12,"423","569",NULL
"Emily","Cherry",1,NULL,"512","421"
"Emily","Cherry",2,"512","421","496"
"Emily","Cherry",3,"421","496","541"
"Emily","Cherry",4,"496","541","386"
"Emily","Cherry",5,"541","386","427"
"Emily","Cherry",6,"386","427","499"
"Emily","Cherry",7,"427","499","801"
"Emily","Cherry",8,"499","801","521"
"Emily","Cherry",9,"801","521","533"
"Emily","Cherry",10,"521","533","352"
"Emily","Cherry",11,"533","352","513"
"Emily","Cherry",12,"352","513",NULL
"Emily","Dates",1,NULL,"564","484"
"Emily","Dates",2,"564","484","276"
"Emily","Dates",3,"484","276","448"
"Emily","Dates",4,"276","448","440"
"Emily","Dates",5,"448","440","543"
"Emily","Dates",6,"440","543","598"
"Emily","Dates",7,"543","598","555"
"Emily","Dates",8,"598","555","309"
"Emily","Dates",9,"555","309","410"
"Emily","Dates",10,"309","410","719"
"Emily","Dates",11,"410","719","390"
"Emily","Dates",12,"719","390",NULL
"Emily","Eggs",1,NULL,"341","419"
"Emily","Eggs",2,"341","419","440"
"Emily","Eggs",3,"419","440","366"
"Emily","Eggs",4,"440","366","490"
"Emily","Eggs",5,"366","490","353"
"Emily","Eggs",6,"490","353","528"
"Emily","Eggs",7,"353","528","462"
"Emily","Eggs",8,"528","462","450"
"Emily","Eggs",9,"462","450","428"
"Emily","Eggs",10,"450","428","439"
"Emily","Eggs",11,"428","439","403"
"Emily","Eggs",12,"439","403",NULL
"Emily","Fish",1,NULL,"412","466"
"Emily","Fish",2,"412","466","386"
"Emily","Fish",3,"466","386","386"
"Emily","Fish",4,"386","386","336"
"Emily","Fish",5,"386","336","440"
"Emily","Fish",6,"336","440","449"
"Emily","Fish",7,"440","449","517"
"Emily","Fish",8,"449","517","400"
"Emily","Fish",9,"517","400","569"
"Emily","Fish",10,"400","569","510"
"Emily","Fish",11,"569","510","389"
"Emily","Fish",12,"510","389",NULL
"Emily","Grapes",1,NULL,"581","383"
"Emily","Grapes",2,"581","383","521"
"Emily","Grapes",3,"383","521","677"
"Emily","Grapes",4,"521","677","488"
"Emily","Grapes",5,"677","488","393"
"Emily","Grapes",6,"488","393","540"
"Emily","Grapes",7,"393","540","322"
"Emily","Grapes",8,"540","322","545"
"Emily","Grapes",9,"322","545","432"
"Emily","Grapes",10,"545","432","485"
"Emily","Grapes",11,"432","485","443"
"Emily","Grapes",12,"485","443",NULL
"Emily","Ham",1,NULL,"339","457"
"Emily","Ham",2,"339","457","537"
"Emily","Ham",3,"457","537","651"
"Emily","Ham",4,"537","651","357"
"Emily","Ham",5,"651","357","571"
"Emily","Ham",6,"357","571","482"
"Emily","Ham",7,"571","482","454"
"Emily","Ham",8,"482","454","484"
"Emily","Ham",9,"454","484","597"
"Emily","Ham",10,"484","597","521"
"Emily","Ham",11,"597","521","319"
"Emily","Ham",12,"521","319",NULL
"Emily","Ice",1,NULL,"526","556"
"Emily","Ice",2,"526","556","350"
"Emily","Ice",3,"556","350","444"
"Emily","Ice",4,"350","444","440"
"Emily","Ice",5,"444","440","481"
"Emily","Ice",6,"440","481","369"
"Emily","Ice",7,"481","369","454"
"Emily","Ice",8,"369","454","289"
"Emily","Ice",9,"454","289","367"
"Emily","Ice",10,"289","367","486"
"Emily","Ice",11,"367","486","588"
"Emily","Ice",12,"486","588",NULL
"Emily","Jelly",1,NULL,"386","498"
"Emily","Jelly",2,"386","498","336"
"Emily","Jelly",3,"498","336","500"
"Emily","Jelly",4,"336","500","334"
"Emily","Jelly",5,"500","334","526"
"Emily","Jelly",6,"334","526","483"
"Emily","Jelly",7,"526","483","443"
"Emily","Jelly",8,"483","443","490"
"Emily","Jelly",9,"443","490","598"
"Emily","Jelly",10,"490","598","466"
"Emily","Jelly",11,"598","466","419"
"Emily","Jelly",12,"466","419",NULL
"Helen","Apple",1,NULL,"484","547"
"Helen","Apple",2,"484","547","726"
"Helen","Apple",3,"547","726","466"
"Helen","Apple",4,"726","466","687"
"Helen","Apple",5,"466","687","570"
"Helen","Apple",6,"687","570","576"
"Helen","Apple",7,"570","576","628"
"Helen","Apple",8,"576","628","513"
"Helen","Apple",9,"628","513","485"
"Helen","Apple",10,"513","485","694"
"Helen","Apple",11,"485","694","481"
"Helen","Apple",12,"694","481",NULL
"Helen","Butter",1,NULL,"364","287"
"Helen","Butter",2,"364","287","405"
"Helen","Butter",3,"287","405","534"
"Helen","Butter",4,"405","534","535"
"Helen","Butter",5,"534","535","494"
"Helen","Butter",6,"535","494","404"
"Helen","Butter",7,"494","404","643"
"Helen","Butter",8,"404","643","408"
"Helen","Butter",9,"643","408","495"
"Helen","Butter",10,"408","495","445"
"Helen","Butter",11,"495","445","349"
"Helen","Butter",12,"445","349",NULL
"Helen","Cherry",1,NULL,"544","446"
"Helen","Cherry",2,"544","446","528"
"Helen","Cherry",3,"446","528","404"
"Helen","Cherry",4,"528","404","808"
"Helen","Cherry",5,"404","808","363"
"Helen","Cherry",6,"808","363","582"
"Helen","Cherry",7,"363","582","460"
"Helen","Cherry",8,"582","460","444"
"Helen","Cherry",9,"460","444","467"
"Helen","Cherry",10,"444","467","508"
"Helen","Cherry",11,"467","508","525"
"Helen","Cherry",12,"508","525",NULL
"Helen","Dates",1,NULL,"410","602"
"Helen","Dates",2,"410","602","537"
"Helen","Dates",3,"602","537","484"
"Helen","Dates",4,"537","484","556"
"Helen","Dates",5,"484","556","403"
"Helen","Dates",6,"556","403","435"
"Helen","Dates",7,"403","435","378"
"Helen","Dates",8,"435","378","561"
"Helen","Dates",9,"378","561","428"
"Helen","Dates",10,"561","428","677"
"Helen","Dates",11,"428","677","471"
"Helen","Dates",12,"677","471",NULL
"Helen","Eggs",1,NULL,"491","478"
"Helen","Eggs",2,"491","478","628"
"Helen","Eggs",3,"478","628","465"
"Helen","Eggs",4,"628","465","417"
"Helen","Eggs",5,"465","417","533"
"Helen","Eggs",6,"417","533","469"
"Helen","Eggs",7,"533","469","669"
"Helen","Eggs",8,"469","669","517"
"Helen","Eggs",9,"669","517","543"
"Helen","Eggs",10,"517","543","407"
"Helen","Eggs",11,"543","407","456"
"Helen","Eggs",12,"407","456",NULL
"Helen","Fish",1,NULL,"279","545"
"Helen","Fish",2,"279","545","406"
"Helen","Fish",3,"545","406","495"
"Helen","Fish",4,"406","495","383"
"Helen","Fish",5,"495","383","584"
"Helen","Fish",6,"383","584","517"
"Helen","Fish",7,"584","517","723"
"Helen","Fish",8,"517","723","646"
"Helen","Fish",9,"723","646","641"
"Helen","Fish",10,"646","641","492"
"Helen","Fish",11,"641","492","515"
"Helen","Fish",12,"492","515",NULL
"Helen","Grapes",1,NULL,"534","400"
"Helen","Grapes",2,"534","400","443"
"Helen","Grapes",3,"400","443","616"
"Helen","Grapes",4,"443","616","534"
"Helen","Grapes",5,"616","534","528"
"Helen","Grapes",6,"534","528","399"
"Helen","Grapes",7,"528","399","560"
"Helen","Grapes",8,"399","560","429"
"Helen","Grapes",9,"560","429","433"
"Helen","Grapes",10,"429","433","710"
"Helen","Grapes",11,"433","710","535"
"Helen","Grapes",12,"710","535",NULL
"Helen","Ham",1,NULL,"444","388"
"Helen","Ham",2,"444","388","435"
"Helen","Ham",3,"388","435","473"
"Helen","Ham",4,"435","473","509"
"Helen","Ham",5,"473","509","500"
"Helen","Ham",6,"509","500","371"
"Helen","Ham",7,"500","371","464"
"Helen","Ham",8,"371","464","667"
"Helen","Ham",9,"464","667","316"
"Helen","Ham",10,"667","316","493"
"Helen","Ham",11,"316","493","355"
"Helen","Ham",12,"493","355",NULL
"Helen","Ice",1,NULL,"475","187"
"Helen","Ice",2,"475","187","396"
"Helen","Ice",3,"187","396","459"
"Helen","Ice",4,"396","459","682"
"Helen","Ice",5,"459","682","517"
"Helen","Ice",6,"682","517","602"
"Helen","Ice",7,"517","602","458"
"Helen","Ice",8,"602","458","508"
"Helen","Ice",9,"458","508","504"
"Helen","Ice",10,"508","504","580"
"Helen","Ice",11,"504","580","472"
"Helen","Ice",12,"580","472",NULL
"Helen","Jelly",1,NULL,"417","540"
"Helen","Jelly",2,"417","540","551"
